checkfit_json,common_aperture_arcsec,contained,frame_status,galaxy_id,logMstar,logMstar_method_sd,n_intersecting_bricks,n_retained,pair_to_next_abs_delta_background_over_mean_RMS,pair_to_next_abs_delta_common_aperture_arcsec,pair_to_next_abs_delta_log10_Mstar_dex,pair_to_next_abs_delta_stage1_R50_arcsec,pair_to_next_pass,r_background,r_background_rms,reason,safe_radius_arcsec,size_pix,stage1_R50_arcsec,stage1_Rd_arcsec
"{""g"": {}, ""r"": {""FFT coefficients"": false, ""Light symmetry"": false, ""initial fit compare"": true, ""isophote variability"": false}, ""z"": {}}",9.799937982530686,True,success,WALLABY J124957+040438,8.68422896836641,0.1441766041193873,2,39,0.032306102877474534,5.982960137714814,0.17545052118979676,0.8838568348412732,False,4.78998e-05,0.00109656,,161.82692,1280,6.3789668717568455,3.800743773308476
"{""g"": {}, ""r"": {""FFT coefficients"": false, ""Light symmetry"": false, ""initial fit compare"": true, ""isophote variability"": false}, ""z"": {}}",15.7828981202455,True,success,WALLABY J124957+040438,8.859679489556207,0.11993022703985633,4,44,0.005549901439321635,2.7391806654971536,0.16906719566282646,0.7872398859574483,False,8.2766e-05,0.00106193,,195.36292,1536,7.262823706598119,4.327367195103095
"{""g"": {}, ""r"": {""FFT coefficients"": false, ""Light symmetry"": false, ""initial fit compare"": true, ""isophote variability"": false}, ""z"": {}}",13.043717454748347,True,success,WALLABY J124957+040438,8.69061229389338,0.13063392302987648,4,42,0.005632463620217643,10.064023683103098,0.3052896516922097,1.9018869654133663,False,7.69802e-05,0.00102308,,228.89892,1792,6.47558382064067,3.858310503822805
"{""g"": {}, ""r"": {""FFT coefficients"": false, ""Light symmetry"": false, ""initial fit compare"": true, ""isophote variability"": false}, ""z"": {}}",23.107741137851445,True,success,WALLABY J124957+040438,8.99590194558559,0.12361495487504173,4,48,0.001791968568297268,0.0,0.017785675619819585,0.398520443116098,True,8.27203e-05,0.00101514,,262.43492000000003,2048,8.377470786054037,4.991501063776374
"{""g"": {}, ""r"": {""FFT coefficients"": false, ""Light symmetry"": false, ""initial fit compare"": true, ""isophote variability"": false}, ""z"": {}}",23.107741137851445,True,success,WALLABY J124957+040438,8.97811626996577,0.16115514471356243,4,48,,,,,,8.0916e-05,0.000998623,,295.97092000000004,2304,7.978950342937939,4.754052880840054
"{""g"": {}, ""r"": {""FFT coefficients"": false, ""Light symmetry"": false, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",59.93552934624482,True,success,WALLABY J125012+073442,10.799762284145391,0.13606030620583145,2,58,0.00194130753519194,5.993552934624489,0.0016862195557436621,0.279518647287226,False,0.000191008,0.00531611,,120.07722000000001,1024,5.422231300809297,3.230697426135624
"{""g"": {}, ""r"": {""FFT coefficients"": false, ""Light symmetry"": false, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",65.92908228086931,True,success,WALLABY J125012+073442,10.798076064589647,0.1465970262216271,3,59,0.004951832139701114,5.993552934624489,0.017553665830796206,0.00925893518958354,False,0.000200945,0.00492132,,153.61321999999998,1280,5.701749948096523,3.397241441735432
"{""g"": {}, ""r"": {""FFT coefficients"": false, ""Light symmetry"": false, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",59.93552934624482,True,success,WALLABY J125012+073442,10.780522398758851,0.14605804561068153,4,58,0.017791483452904416,5.993552934624489,0.01669398247296705,0.08917515028146106,False,0.000224284,0.00450509,,187.14921999999999,1536,5.711008883286106,3.402758140752178
"{""g"": {}, ""r"": {""FFT coefficients"": false, ""Light symmetry"": false, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",65.92908228086931,True,success,WALLABY J125012+073442,10.797216381231818,0.14340810704109444,4,59,0.004372283367228939,5.993552934624489,0.012223009726554324,0.04499986198396755,False,0.000147407,0.00413691,,220.68522,1792,5.621833733004645,3.3496254150334184
"{""g"": {}, ""r"": {""FFT coefficients"": false, ""Light symmetry"": false, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",59.93552934624482,True,success,WALLABY J125012+073442,10.809439390958373,0.14904955310591492,4,58,0.004682582046420878,0.0,0.017492323162253243,0.17604746905623703,True,0.000129864,0.00388773,,254.22122,2048,5.5768338710206775,3.3228134016347344
