name,ra,dec,dist_h,ell_maj,ell_min,ell_pa,log_m_hi,log_m_hi_corr,rel,rms,team_release,qflag
WALLABY J103803-281007,159.513711066801,-28.1688238099205,150.57834915502704,8.35475647035219,5.44346806475711,18.1046823344307,9.938252552187143,10.077591095432204,0.999999999999998,0.001626799483676,Hydra TR1,4.0
WALLABY J103732-261917,159.384349674819,-26.3216298410883,45.580979170508655,9.33669642855867,7.30368923182055,64.9338557248303,8.896274807907323,9.036311130074633,0.999999999999993,0.001766784606245,Hydra TR1,0.0
WALLABY J103712-274108,159.300904917431,-27.6858280979203,40.4799719543065,11.9191671477632,7.05588852661977,40.7889176677523,8.787953101105925,8.928903256802906,0.999999910552723,0.001713508986904,Hydra TR1,0.0
WALLABY J103841-253530,159.673270827968,-25.5919301726269,54.920419626689835,8.66297225203575,6.03215629053911,63.702981556591,9.04608825817498,9.188243487513692,1.0,0.002029164047716,Hydra TR1,0.0
WALLABY J103240-282058,158.168737704922,-28.3496093112178,56.110474670499464,8.32068496873812,6.09027175101276,16.1162213357502,9.056703849550486,9.20027969445929,0.999999990949801,0.0018384360895,Hydra TR1,0.0
WALLABY J103810-250618,159.544797636525,-25.1051418157029,146.84358687288685,8.52151410861326,7.04937784776645,-38.4468015768902,9.874989124634046,10.021689723877072,0.999999998532707,0.002094931505699,Hydra TR1,0.0
WALLABY J103902-291255,159.760582690239,-29.2153899429422,45.647394271786794,8.26201130998009,6.04235363709564,-46.1800016938405,8.855518301817414,9.003057775225857,1.0,0.001864609654737,Hydra TR1,0.0
WALLABY J103905-265519,159.77351006678,-26.922124420059,150.47400047885304,6.93860845219121,4.90619349582316,43.6592321740484,9.885022026111221,10.033772796879525,0.99999999997574,0.001615850236213,Hydra TR1,4.0
WALLABY J103840-283405,159.668337952401,-28.5681052052932,49.51913301336062,9.02321385789297,5.8015544678969,22.9479183044478,8.91441408336484,9.06413364869696,0.999999213095095,0.001756142582535,Hydra TR1,0.0
WALLABY J103805-250537,159.524085955975,-25.0936821465293,56.444201852937994,7.88009964979375,6.66646367164716,24.347558940635,9.026969993434173,9.176900882224844,0.999999999999989,0.002116058661886,Hydra TR1,0.0
WALLABY J104058-274546,160.243459337391,-27.7629310832549,56.88218245857049,9.78088763428015,5.87277337908522,-49.2592697635329,9.016816972811906,9.169917652980526,0.999999999999442,0.001671260283952,Hydra TR1,0.0
WALLABY J103858-300500,159.742537813555,-30.0835530070921,53.832218263869855,11.9908758717791,6.97593190285887,6.09089362437064,8.961198488073677,9.115777277314875,0.999405256558054,0.002129375344526,Hydra TR1,0.0
WALLABY J103502-293019,158.760434320572,-29.5054390026309,53.4747575600962,8.91127749254356,7.05296641148328,-73.6132792704253,8.938101085568883,9.096030684758274,0.999999896824789,0.002008073309626,Hydra TR1,0.0
WALLABY J103644-251543,159.184516747405,-25.2620310551355,52.36317508853108,7.29970661039256,5.62097254731922,-57.0887201231869,8.904140052219443,9.065171524430905,0.999999999997368,0.002028699760134,Hydra TR1,0.0
WALLABY J103546-273840,158.944730115123,-27.6446330548685,67.91377996291622,8.39116251698454,7.47666479523863,-1.35463439891123,9.126478909580882,9.288214033095562,0.999999999999993,0.001689397013872,Hydra TR1,0.0
WALLABY J103257-250937,158.238279142573,-25.1602867954444,104.87142855174392,6.61520156697495,4.06823952188906,60.5148033522922,9.501837594922657,9.66398124012202,0.999955945155336,0.002348883091958,Hydra TR1,0.0
WALLABY J103322-271142,158.344530283588,-27.1951717268911,154.20349863035594,8.57890329815716,6.82200936911215,59.0065818047438,9.826666807135972,9.990836369539307,0.999999996746253,0.001747358399548,Hydra TR1,0.0
WALLABY J103507-275923,158.783103907652,-27.9899971470286,34.79432358674724,6.74596385318702,6.0330694486879,21.9128285627946,8.532918489654872,8.697205079037161,0.999998805751638,0.00176399870815,Hydra TR1,0.0
WALLABY J103420-265408,158.585655303362,-26.9022812820491,53.27811846068162,9.22720463333594,5.22636769890364,-64.5544706334407,8.899812686348183,9.064747405977762,0.999999999999982,0.001716781178777,Hydra TR1,0.0
WALLABY J104048-281302,160.202721680847,-28.2173464475887,152.20098641687431,8.31168115058713,7.13257282541271,-13.241186844441,9.808371435919385,9.97395498391067,0.999999980623397,0.001599604140562,Hydra TR1,4.0
WALLABY J103939-280552,159.912620533829,-28.0978109520159,48.52244286510629,8.18630301648305,6.20376983630918,-14.3723235758217,8.81436977810716,8.980168612706935,0.999999685729111,0.001782340138841,Hydra TR1,0.0
WALLABY J103828-283056,159.620094531519,-28.5156827255338,62.17974862688194,5.88458175713701,5.36125489402088,-81.9843507659182,9.029595646714924,9.195432722545322,0.999999991496153,0.001767415968318,Hydra TR1,4.0
WALLABY J103804-284333,159.518509493893,-28.7259178868682,63.617673405812,7.34897398198667,6.19091366245756,-75.1939523746797,9.041482085766779,9.208959269882941,1.0,0.001627501869668,Hydra TR1,4.0
WALLABY J104127-275119,160.364746932924,-27.8554174054384,167.00393740670236,9.39944037890764,6.91410228632016,-64.9595246354091,9.867030007967548,10.037162125834167,0.999999612058178,0.001634968528766,Hydra TR1,0.0
WALLABY J104139-254049,160.414628771912,-25.6803352075322,55.085011577885595,7.34291380986586,5.15664074399914,-20.9799584667873,8.898400524869214,9.069635736426784,1.0,0.001898604480871,Hydra TR1,0.0
WALLABY J104512-284309,161.300434270535,-28.719199793532,141.54404271697794,7.19750451212023,6.61465792316884,55.362481781975,9.706117147270284,9.879902098769223,0.999999999164898,0.001661841286939,Hydra TR1,4.0
WALLABY J104432-290559,161.133670349484,-29.0998136266324,166.36296811743782,7.47250331325309,5.89242986404879,-32.5863402989352,9.84290807394379,10.017451743913423,0.999566499132166,0.001713141958077,Hydra TR1,0.0
WALLABY J104157-264302,160.489263458485,-26.7173880707201,157.07783226385732,6.0461322741188,5.26124002683185,-23.2375794396229,9.792236700750674,9.966949683395026,0.999999960297528,0.001578623347152,Hydra TR1,0.0
WALLABY J103348-271429,158.452072222571,-27.2414031101551,151.50307336947253,6.65649897120421,4.81157572741551,-7.41430070927606,9.757386025463916,9.93284518839158,0.999999747039346,0.001687823786617,Hydra TR1,4.0
WALLABY J104026-274853,160.110691705503,-27.81477936303,62.07150919752577,8.15378498336715,6.95407262113763,-48.3746319977047,8.980512661856523,9.156364014687599,0.999999999999002,0.00181289000289,Hydra TR1,4.0
WALLABY J104326-251857,160.859294175233,-25.3160000773131,53.72312774174989,6.64125233318643,6.25097299788115,-77.8097684323288,8.85108550952203,9.027796429272755,0.99999996987602,0.001955258525916,Hydra TR1,0.0
WALLABY J104139-274639,160.413688830847,-27.7776946735683,62.21418370349641,6.76710170622479,5.97053705246927,77.0061776101359,8.971011053629223,9.149365159727054,0.999999999939546,0.001634615739242,Hydra TR1,4.0
WALLABY J103821-254126,159.587647338009,-25.6906389258905,49.03497019725525,7.49786863354229,6.67729023379824,29.335181117142,8.76110718575132,8.94014989357793,1.0,0.001853558056888,Hydra TR1,0.0
WALLABY J103737-261641,159.407605177008,-26.278096692896,54.31559728222779,7.61125906378229,5.35638121620478,-58.7583351266292,8.811768632283385,8.999388814738618,0.999998853649648,0.001840974655212,Hydra TR1,0.0
WALLABY J103130-251020,157.875544699671,-25.1723082118917,152.69884374698978,8.58542685839158,6.9730889489221,-62.3030974228159,9.707515365707547,9.89561246019095,0.932361043494574,0.002244181064117,Hydra TR1,0.0
WALLABY J103926-265812,159.858660195559,-26.9702451263405,151.75525836690636,8.49850895443936,7.51705153520933,-79.7835547909798,9.698919320407564,9.88775659969578,0.999937150931109,0.001633104992323,Hydra TR1,4.0
WALLABY J103701-284018,159.254616150396,-28.6717497729561,139.16972747512182,9.35024691796166,4.63821351305122,-18.2076616006474,9.60634785049987,9.799234527061113,0.999999108035332,0.001643078631771,Hydra TR1,0.0
WALLABY J103844-273449,159.686643621054,-27.5804273975224,166.12091982654692,8.35698821330801,5.94245571197107,83.598990461714,9.758316350176973,9.951624797196436,0.999999460413454,0.001620797919428,Hydra TR1,0.0
WALLABY J103901-262539,159.755963915098,-26.4276137504477,151.53227225769203,6.71434193903735,5.3172668073935,14.7875255184716,9.678287815946831,9.871641101223702,0.999994840149185,0.001618052840669,Hydra TR1,4.0
WALLABY J104442-290119,161.177037943173,-29.0219985602461,143.79661620243849,10.7428264594198,6.47131059171336,50.9745778203464,9.625058583668128,9.820239303289386,0.999993703356207,0.001685683144704,Hydra TR1,0.0
WALLABY J103842-281535,159.676002846199,-28.2599403678409,48.694806114150985,7.28105826418145,4.6010075687377,47.5061447185353,8.675041611779953,8.872489856478134,0.99999991810873,0.00175412224116,Hydra TR1,0.0
WALLABY J104239-300357,160.665116363421,-30.066103821748,35.40594198605099,6.23407819028218,4.20663437095605,56.142653767196,8.387966321953341,8.587894468009495,0.999664122961165,0.002041221717059,Hydra TR1,0.0
WALLABY J103459-280440,158.748579925163,-28.0778125039335,33.88165137014864,6.02512918827816,4.94878497342295,-46.0991745301254,8.339532556226345,8.54195564854998,0.987170604249332,0.001787144479737,Hydra TR1,0.0
WALLABY J103521-272302,158.840473787277,-27.3840867046743,44.83166293084307,16.7035178819395,4.91180261765854,5.89372011692356,8.579442366528342,8.782685295498823,0.999996790877491,0.001810594713515,Hydra TR1,0.0
WALLABY J103754-260424,159.475851516935,-26.0735323293974,66.23025634132371,6.54022822315385,5.60720182352993,-44.4498174943995,8.914386246543456,9.118617466877092,0.99858983122228,0.001795385498032,Hydra TR1,0.0
WALLABY J103927-271653,159.863962648444,-27.2814254287419,48.070445794002666,6.47562310714083,6.07994452481278,67.1268470256374,8.629269496380774,8.835180966825927,0.999996723995896,0.001633735146213,Hydra TR1,0.0
WALLABY J103758-252035,159.491941781948,-25.3431554610386,192.76743485092942,36.3606152369865,6.37875157203132,14.4690851561147,9.829825042812253,10.037176684810571,0.986582250894609,0.001838726139791,Hydra TR1,0.0
WALLABY J104447-270553,161.196697749557,-27.0983203014285,155.55250256857798,7.77665473176777,5.59068188101047,78.7684508960954,9.634530592951016,9.84414733365023,0.999906252782314,0.001604652275588,Hydra TR1,0.0
