galaxy_id,field_id,team_release,ra,dec,distance_mpc,logMHI,ell_maj_beams,primary_brick,primary_brick_subdir,spatial_shard,hi_status,dr10_optical_field_status
WALLABY J132454-201759,NGC5044,NGC 5044 TR3,201.2278759129651,-20.29981239138882,24.902192867439556,8.331245904205145,1.5174324009,2011m202,201,12,pass,candidate
WALLABY J132552-203408,NGC5044,NGC 5044 TR3,201.4670625621053,-20.56915141334312,103.12084005392053,9.631809156162111,1.80347371543,2014m205,201,12,pass,candidate
WALLABY J133325-220257,NGC5044,NGC 5044 TR3,203.3580011063873,-22.04940803380708,100.19275409138656,9.437608143974355,1.49950465048,2032m220,203,12,pass,candidate
WALLABY J133600-205437,NGC5044,NGC 5044 TR3,204.0021409286826,-20.9103459150554,194.60946367235664,10.387075947509556,1.61285273374,2039m210,203,12,pass,candidate
WALLABY J133702-175223,NGC5044,NGC 5044 TR3,204.2613647610197,-17.87312452097598,183.10175875032814,9.973530488757595,2.12101775536,2042m177,204,12,pass,candidate
WALLABY J133844-153815,NGC5044,NGC 5044 TR3,204.6859413905051,-15.63752630119929,212.0816054006549,10.194593093078064,1.39120349901,2047m157,204,12,pass,candidate
WALLABY J133834-174954,NGC5044,NGC 5044 TR3,204.6424928336768,-17.83166546164334,181.38204781980028,10.056261521085624,2.02486947973,2047m177,204,12,pass,candidate
WALLABY J134034-183340,NGC5044,NGC 5044 TR3,205.1434330780191,-18.56112805999475,185.08005272848604,9.535941940156468,0.867460615929,2051m185,205,12,pass,candidate
WALLABY J125859-135141,NGC5044,NGC 5044 TR3,194.7491421413461,-13.86139762025943,69.74627161952594,8.993047467935394,1.24623706419,1947m137,194,13,pass,candidate
WALLABY J125930-135159,NGC5044,NGC 5044 TR3,194.8757342390907,-13.86648646475514,199.9970055320237,9.828042939496765,1.1421690211,1947m137,194,13,pass,candidate
WALLABY J130527-142801,NGC5044,NGC 5044 TR3,196.36613698946,-14.46698452153477,36.22617173780913,8.405221258425115,1.20180178802,1963m145,196,13,pass,candidate
WALLABY J130546-133400,NGC5044,NGC 5044 TR3,196.4448594975306,-13.56668846276973,18.526914591532158,7.645389682122517,0.929293114877,1965m135,196,13,pass,candidate
WALLABY J130629-133413,NGC5044,NGC 5044 TR3,196.6218391513807,-13.57052642779894,35.19782151889389,9.316220611356057,2.05837231271,1965m135,196,13,pass,candidate
WALLABY J130622-161408,NGC5044,NGC 5044 TR3,196.592874903122,-16.23570153425173,159.27661541050279,9.457480532376977,1.08437195729,1965m162,196,13,pass,candidate
WALLABY J130718-130903,NGC5044,NGC 5044 TR3,196.8279067481465,-13.15083078699333,21.77265798296513,7.77903028730011,0.995821637828,1967m132,196,13,pass,candidate
WALLABY J130732-132154,NGC5044,NGC 5044 TR3,196.8860636562393,-13.36509251472262,69.9435539146288,9.210648746630474,1.21691407247,1967m132,196,13,pass,candidate
WALLABY J131017-171323,NGC5044,NGC 5044 TR3,197.5721537932745,-17.22329900788115,237.46985317943654,9.762945959401153,1.32022349579,1976m172,197,13,pass,candidate
WALLABY J131434-145005,NGC5044,NGC 5044 TR3,198.6457679520595,-14.83483833727789,76.64926749534284,9.217910407137959,2.83333284754,1987m147,198,13,pass,candidate
WALLABY J131451-143740,NGC5044,NGC 5044 TR3,198.7160032826288,-14.62794470308484,169.28317909844878,9.65676507333962,1.19318099694,1987m147,198,13,pass,candidate
WALLABY J131649-133623,NGC5044,NGC 5044 TR3,199.2054044048268,-13.60653419636822,95.9444593063983,9.907194123376708,1.84343643369,1991m135,199,13,pass,candidate
WALLABY J132046-124531,NGC5044,NGC 5044 TR3,200.195072601996,-12.75864481760356,76.11032138556985,9.086482386034756,1.24561737318,2000m127,200,13,pass,candidate
WALLABY J132042-173916,NGC5044,NGC 5044 TR3,200.178382847752,-17.65458987559917,74.01554419334519,9.015170737151037,1.75065579506,2003m177,200,13,pass,candidate
WALLABY J132331-235339,NGC5044,NGC 5044 TR3,200.8799080469495,-23.89412682697595,179.4357809251482,10.272132459771406,1.43417447719,2008m240,200,13,pass,candidate
WALLABY J132359-235510,NGC5044,NGC 5044 TR3,200.9982322979386,-23.91966438106944,267.9416304271622,9.949112527668285,1.41677674833,2008m240,200,13,pass,candidate
WALLABY J132358-190341,NGC5044,NGC 5044 TR3,200.9926487324703,-19.06152300549203,98.7737255226776,9.638721443574694,1.27839153956,2009m190,200,13,pass,candidate
WALLABY J132419-185912,NGC5044,NGC 5044 TR3,201.0822306190693,-18.98667025343429,71.4601138549041,8.812195259523254,1.01909169141,2009m190,200,13,pass,candidate
WALLABY J132552-241252,NGC5044,NGC 5044 TR3,201.4697867299596,-24.2153053491788,177.67308436871156,9.814356445736264,1.43316197768,2014m242,201,13,pass,candidate
WALLABY J132558-242128,NGC5044,NGC 5044 TR3,201.4950267312549,-24.35797695854149,177.7578764255307,9.68792042841408,1.61242427307,2014m242,201,13,pass,candidate
WALLABY J132713-202729,NGC5044,NGC 5044 TR3,201.8074836446877,-20.45819837713485,96.7002612556317,9.62494569530268,1.71117193602,2017m205,201,13,pass,candidate
WALLABY J133039-241626,NGC5044,NGC 5044 TR3,202.6657223665214,-24.27405377621292,109.78791853254614,9.111011429736347,1.12185008274,2025m242,202,13,pass,candidate
WALLABY J133506-233309,NGC5044,NGC 5044 TR3,203.775293154395,-23.5523803490717,147.422886503573,9.294798040028157,1.15915759188,2038m235,203,13,pass,candidate
WALLABY J133708-203705,NGC5044,NGC 5044 TR3,204.2866962656135,-20.61831856029339,320.8357024086551,9.930458558297559,1.37434811374,2044m205,204,13,pass,candidate
WALLABY J133851-165026,NGC5044,NGC 5044 TR3,204.7163642030499,-16.84081837349538,194.16475975451257,9.780915609027943,1.29208396373,2046m167,204,13,pass,candidate
WALLABY J133818-233325,NGC5044,NGC 5044 TR3,204.5765918042904,-23.5571663430436,165.46834296150058,9.687408519009765,1.18392521186,2046m235,204,13,pass,candidate
WALLABY J133950-195837,NGC5044,NGC 5044 TR3,204.9615240487306,-19.97729910412098,172.6572709947759,9.933350274697126,1.48252895503,2050m200,205,13,pass,candidate
WALLABY J134017-200502,NGC5044,NGC 5044 TR3,205.0707656756805,-20.08470467576307,167.5316348465526,9.80805232991308,1.32097570785,2050m200,205,13,pass,candidate
WALLABY J134018-200556,NGC5044,NGC 5044 TR3,205.075636422848,-20.09881071379293,172.88733535991727,10.068771993002768,1.76390981565,2050m200,205,13,pass,candidate
WALLABY J125932-151419,NGC5044,NGC 5044 TR3,194.8866824966066,-15.23881391440914,20.28347851631015,8.141622739521514,1.43221021768,1948m152,194,14,pass,candidate
WALLABY J125943-150804,NGC5044,NGC 5044 TR3,194.9311902867851,-15.13446673877278,191.62028033744699,9.793170004802697,1.28013889609,1948m152,194,14,pass,candidate
WALLABY J125956-192430,NGC5044,NGC 5044 TR3,194.9833370349134,-19.40843429410134,11.822187201840713,8.253953654297579,3.0312403596,1949m195,194,14,pass,candidate
WALLABY J130010-130042,NGC5044,NGC 5044 TR3,195.0439359194091,-13.01183146020194,67.77856252219776,8.758850495545797,1.10614897757,1950m130,195,14,pass,candidate
WALLABY J130121-133904,NGC5044,NGC 5044 TR3,195.3413509115298,-13.65130019477887,130.94381091356993,9.743202903021873,1.17510942369,1953m137,195,14,pass,candidate
WALLABY J130221-154600,NGC5044,NGC 5044 TR3,195.590275974464,-15.76689407031091,69.28458002795942,10.12923822249869,3.98219110884,1956m157,195,14,pass,candidate
WALLABY J130224-155038,NGC5044,NGC 5044 TR3,195.6017505409316,-15.84401044556966,194.76936585680582,9.715740514038387,1.38579067252,1956m157,195,14,pass,candidate
WALLABY J130759-180456,NGC5044,NGC 5044 TR3,196.9989657799867,-18.08222731451413,153.7927986534279,10.010976523481583,1.40974649588,1969m180,196,14,pass,candidate
WALLABY J130939-135908,NGC5044,NGC 5044 TR3,197.4152779437082,-13.98557532871264,161.44245662953148,9.473340568700493,0.843690426877,1973m140,197,14,pass,candidate
WALLABY J131001-162607,NGC5044,NGC 5044 TR3,197.5047260139062,-16.4353525220682,186.91067658276611,9.78312155129202,1.233618919,1975m165,197,14,pass,candidate
WALLABY J131321-185558,NGC5044,NGC 5044 TR3,198.339349303448,-18.93288961256165,87.69308514281454,9.857859582517666,1.8012152577,1983m190,198,14,pass,candidate
WALLABY J131413-125346,NGC5044,NGC 5044 TR3,198.5546505950913,-12.89633516174442,198.89980739979313,9.635237509951736,1.15324288122,1985m130,198,14,pass,candidate
WALLABY J131532-161726,NGC5044,NGC 5044 TR3,198.8843663419285,-16.29064234419109,46.3799999215541,8.53470226339382,1.49775141889,1988m162,198,14,pass,candidate
WALLABY J131551-161220,NGC5044,NGC 5044 TR3,198.9626237908921,-16.20575391511587,129.64573915114644,9.582814803685372,1.16267939695,1988m162,198,14,pass,candidate
WALLABY J131739-213708,NGC5044,NGC 5044 TR3,199.4153093665174,-21.61913840175578,41.88026713971815,9.208469340010923,2.45523729925,1994m215,199,14,pass,candidate
WALLABY J133041-233009,NGC5044,NGC 5044 TR3,202.6741234209146,-23.50271564864846,184.38408343337525,10.429214507481513,2.12744460212,2027m235,202,14,pass,candidate
WALLABY J133128-212511,NGC5044,NGC 5044 TR3,202.8685954823805,-21.41967994960323,36.579316887561966,8.507920095603085,1.49101156791,2029m215,202,14,pass,candidate
WALLABY J133521-145344,NGC5044,NGC 5044 TR3,203.841199964328,-14.89557474621204,207.76073739174075,9.71509606397356,0.869106257215,2039m150,203,14,pass,candidate
WALLABY J133624-165744,NGC5044,NGC 5044 TR3,204.0999869676198,-16.96240576622585,181.74152420352115,9.49076517475936,1.00239851846,2041m170,204,14,pass,candidate
WALLABY J133832-200024,NGC5044,NGC 5044 TR3,204.6369251640051,-20.00678801417477,234.58724111860326,9.772611729319475,0.907261157916,2045m200,204,14,pass,candidate
WALLABY J134308-201304,NGC5044,NGC 5044 TR3,205.7834506899119,-20.21733973571709,137.3843634796373,9.981969931423254,2.16106404403,2056m202,205,14,pass,candidate
