name,team_release,ra,dec,dist_h,log_m_hi_corr,ell_maj_beams_30arcsec,rel,qflag
WALLABY J100415-445304,Vela TR1,151.0656495164489,-44.88450590539931,336.3565382223931,10.226498179783464,1.33699744246,0.980374417646235,0.0
WALLABY J100421-442527,Vela TR1,151.0876816123107,-44.42442951657097,54.32744677285246,9.417372916129896,2.67396417704,0.9999999999985028,0.0
WALLABY J100423-452230,Vela TR1,151.0989565483311,-45.37511272836838,62.740725188242386,8.745781435779643,1.04280436101,0.9504579996336863,4.0
WALLABY J100425-444951,Vela TR1,151.1065705574669,-44.8310633660558,340.2571000056415,10.496386849240787,1.50830159539,0.9999768357378407,0.0
WALLABY J100426-455138,Vela TR1,151.1115088131064,-45.86070693093258,258.6253153780589,10.305079143283464,1.48427551609,0.9999999845573363,0.0
WALLABY J100437-490338,Vela TR1,151.1549996028851,-49.06054311550522,48.58980313937411,9.385290895733558,2.45895932984,0.999999995960908,0.0
WALLABY J100442-444506,Vela TR1,151.1786035067265,-44.75191935362896,335.9419460934672,10.115810572166689,1.20551016211,0.816265484212525,0.0
WALLABY J100444-443016,Vela TR1,151.1858370173332,-44.50465047354498,336.54859895931787,9.798762271484222,1.16251914696,0.7476902636501525,0.0
WALLABY J100447-484422,Vela TR1,151.1972360629496,-48.73954578045878,95.96107404479477,9.530459629371009,1.05281153518,0.7170087228730903,0.0
WALLABY J100451-435701,Vela TR1,151.2126281553552,-43.95051319431841,258.18008470413525,10.139402441471825,1.18896810871,0.997171782909555,0.0
WALLABY J100452-452932,Vela TR1,151.2186834840093,-45.4923259853029,277.3022303230129,10.057271879602819,1.16685392369,0.996512523268595,0.0
WALLABY J100456-445724,Vela TR1,151.2361624168768,-44.95677267726058,262.2933004584031,10.327670380529801,1.47578841641,0.9999999951245733,0.0
WALLABY J100508-445144,Vela TR1,151.2874477362579,-44.86229630890521,54.54530618421196,8.885325532664327,1.35549500229,1.0,0.0
WALLABY J100509-444852,Vela TR1,151.2913825261832,-44.81457386520116,54.72423998867314,9.426930570282527,1.89743581864,1.0,0.0
WALLABY J100535-465131,Vela TR1,151.3969788831425,-46.85884420958143,158.8564735138804,9.54451167449323,1.41613584748,0.9960978615441958,0.0
WALLABY J100540-455426,Vela TR1,151.4175056659561,-45.9072684465154,254.65339936906472,10.016000151300545,1.23672546919,0.9953884773559449,0.0
WALLABY J100541-471231,Vela TR1,151.4243676493069,-47.20887090484648,252.15356910982166,10.131907127909525,1.12262351181,0.9999930500596211,0.0
WALLABY J100542-442711,Vela TR1,151.4265554230806,-44.45321945362031,47.78642212962297,9.006338348527112,1.53868670381,0.9999999963084812,0.0
WALLABY J100542-480241,Vela TR1,151.4273929220507,-48.04488496218956,57.38644253340868,9.513721171442665,3.78270629477,1.0,0.0
WALLABY J100550-433754,Vela TR1,151.4584387414393,-43.63186516106186,51.059467341121156,9.075686730829785,1.50276379544,0.9999999970387362,0.0
WALLABY J100550-441338,Vela TR1,151.4598550789682,-44.22724474526973,47.55962814762239,9.95660717781554,4.8297410999,1.0,0.0
WALLABY J100552-450111,Vela TR1,151.4700259080632,-45.01976327266539,57.246471329447196,8.851221047857958,1.38968262273,0.9861678498884466,0.0
WALLABY J100610-464716,Vela TR1,151.5449111934918,-46.78800572072264,160.71049738454968,9.873366970570036,1.48148610839,0.9999773266868897,0.0
