galaxy_id,field_id,log10_gbar,gbar,gobs,proxy_value,delta_ref,primary_resolution,crossfit_ok,stratum,rad_arcsec,vrot_kms,gstar,log10_gstar,ggas,gravity_step_relative_change
WALLABY J130315+074816,NGC4808,-10.7181211243,1.91372211528e-11,8.72860248285e-11,7.80763659653,0.18224620274,True,True,low,52.67,169.5,1.8374620188e-11,-10.7357816292,7.62600964833e-13,9.30866239187e-08
WALLABY J130315+074816,NGC4808,-10.858775705,1.38428111803e-11,8.0086489301e-11,7.80763659653,0.227539908252,True,True,low,67.72,184.1,1.12935465129e-11,-10.9471696551,2.54926466738e-12,9.20036885485e-07
WALLABY J130315+074816,NGC4808,-10.9611742515,1.09351752748e-11,7.90324616152e-11,7.80763659653,0.280868040662,True,True,low,82.78,202.2,7.35551868723e-12,-11.1333866968,3.57965658755e-12,5.30995757252e-07
WALLABY J130315+074816,NGC4808,-11.0244092426,9.45345927119e-12,6.90678340768e-11,7.80763659653,0.258402641597,True,True,low,97.84,205.5,5.08644738128e-12,-11.2935854439,4.36701188991e-12,0.000213424672056
WALLABY J130315+074816,NGC4808,-11.1624492836,6.87940244406e-12,3.05467680179e-11,7.80763659653,-0.0181876010013,True,True,low,112.89,146.8,3.70939257584e-12,-11.4306972016,3.17000986822e-12,0.000140094059309
WALLABY J130358+054204,NGC4808,-10.6469562527,2.25446629714e-11,2.9410432231e-10,8.21625724342,0.667225573201,True,True,low,7.5,262.5,2.2402431366e-11,-10.6497048445,1.42231605427e-13,1.80757992607e-06
WALLABY J130358+054204,NGC4808,-10.883897596,1.30647891169e-11,8.50330558557e-11,8.21625724342,0.268145073199,True,True,low,22.56,244.8,1.30647891169e-11,-10.883897596,0,1.09709088255e-05
WALLABY J130358+054204,NGC4808,-11.085619088,8.21071375758e-12,4.88215717813e-11,8.21625724342,0.142364553586,True,True,low,37.61,239.5,6.22428137493e-12,-11.2059107829,1.98643238266e-12,4.66192310429e-06
WALLABY J130415-102023,NGC5044,-10.1075720371,7.8059895031e-11,2.32597877699e-10,7.12397297321,0.221892887971,True,True,low,37.5,240.7,7.8059895031e-11,-10.1075720371,0,4.01292854497e-06
WALLABY J130415-102023,NGC5044,-10.1807510168,6.59551911226e-11,1.63317185601e-10,7.12397297321,0.117422791981,True,True,low,52.48,238.6,6.58047110638e-11,-10.1817430134,1.50480058722e-13,0.0075593865285
WALLABY J130415-102023,NGC5044,-10.2726275232,5.33792511503e-11,1.28956444765e-10,7.12397297321,0.0752510098644,True,True,low,67.47,240.4,5.33713403885e-11,-10.27269189,7.91076182898e-15,0.00185325318535
WALLABY J130415-102023,NGC5044,-10.3555458292,4.41015822216e-11,1.07733111858e-10,7.12397297321,0.0505813848846,True,True,low,82.45,242.9,4.26053316875e-11,-10.3705360493,1.49625053414e-12,6.95998751481e-07
WALLABY J130415-102023,NGC5044,-10.450622892,3.54304858693e-11,9.05694460079e-11,7.12397297321,0.0352797945191,True,True,low,97.43,242.1,3.38516342451e-11,-10.4704203602,1.57885162429e-12,2.03549428192e-06
WALLABY J130415-102023,NGC5044,-10.5345689267,2.92032423968e-11,7.52842905162e-11,7.12397297321,0.00705602205852,True,True,low,112.42,237.1,2.69434026551e-11,-10.5695475585,2.25983974166e-12,6.04764537925e-06
WALLABY J130415-102023,NGC5044,-10.634263772,2.3213264929e-11,6.41545183797e-11,7.12397297321,-0.00169894918583,True,True,low,127.4,233,2.15782019687e-11,-10.6659847463,1.63506296031e-12,0.00069185548
WALLABY J130415-102023,NGC5044,-10.7100440963,1.94964663142e-11,5.71586234041e-11,7.12397297321,-0.00642274010095,True,True,low,142.38,232.5,1.74323003098e-11,-10.758645301,2.06416600437e-12,1.28065520924e-06
WALLABY J130415-102023,NGC5044,-10.7835363643,1.64612812722e-11,5.20292517494e-11,7.12397297321,-0.00376611947397,True,True,low,157.36,233.2,1.42292116036e-11,-10.8468191622,2.23206966862e-12,5.51029680243e-07
WALLABY J130415-102023,NGC5044,-10.8488650297,1.41623384948e-11,4.81991723408e-11,7.12397297321,0.00125450688362,True,True,low,172.35,234.9,1.17441649951e-11,-10.9301778559,2.41817349969e-12,0.000907460510395
WALLABY J130415-102023,NGC5044,-10.9144288918,1.21778636803e-11,4.50651579859e-11,7.12397297321,0.0100408189461,True,True,low,187.33,236.8,9.80670651656e-12,-11.0084768216,2.37115716373e-12,0.000784754917241
WALLABY J130415-102023,NGC5044,-10.9758721641,1.05712863255e-11,4.21523118895e-11,7.12397297321,0.0162940092226,True,True,low,202.31,238,8.28271734284e-12,-11.0818271592,2.2885689827e-12,1.17603573173e-06
WALLABY J130415-102023,NGC5044,-11.0281724121,9.37189874796e-12,3.94757097067e-11,7.12397297321,0.0175934057026,True,True,low,217.3,238.7,7.07194489185e-12,-11.1504611322,2.29995385611e-12,0.000702263595062
WALLABY J130415-102023,NGC5044,-11.0872185,8.18053109967e-12,3.70847510733e-11,7.12397297321,0.0238493644781,True,True,low,232.28,239.2,6.10149018975e-12,-11.2145640827,2.07904090992e-12,8.1383111145e-08
WALLABY J130415-102023,NGC5044,-11.1285790775,7.43739628523e-12,3.48962903847e-11,7.12397297321,0.0206771500685,True,True,low,247.26,239.4,5.31482419396e-12,-11.2745110967,2.12257209127e-12,0.000368727914891
WALLABY J130618-173039,NGC5044,-11.6559504583,2.20825662352e-12,1.48484652219e-11,4.76604609732,-0.0625473889788,True,True,low,7.5,18.7,2.20825662352e-12,-11.6559504583,0,1.35974666452e-06
WALLABY J130618-173039,NGC5044,-11.5542114933,2.79118425585e-12,1.51548642083e-11,4.76604609732,-0.108175460063,True,True,low,22.47,32.7,2.22949401385e-12,-11.6517936894,5.61690242006e-13,2.97488638938e-06
WALLABY J130618-173039,NGC5044,-11.4140546828,3.85429824454e-12,1.38181493263e-11,4.76604609732,-0.224083676335,True,True,low,37.43,40.3,1.60971071705e-12,-11.7932521645,2.24458752749e-12,1.09480059044e-06
WALLABY J130618-173039,NGC5044,-11.2540010814,5.57184361497e-12,1.14474245155e-11,4.76604609732,-0.393587169892,True,True,low,52.4,43.4,1.09077537768e-12,-11.962264674,4.48106823729e-12,3.19409167696e-06
WALLABY J130618-173039,NGC5044,-11.2453639776,5.68376380909e-12,9.65761612067e-12,4.76604609732,-0.472201333585,True,True,low,67.37,45.2,7.36173082069e-13,-12.1330200664,4.94759072702e-12,3.08039233466e-06
WALLABY J130618-173039,NGC5044,-11.283662873,5.20399807219e-12,8.25529704607e-12,4.76604609732,-0.519192242982,True,True,low,82.34,46.2,5.06680432796e-13,-12.2952658672,4.6973176394e-12,7.23679944244e-07
WALLABY J130618-173039,NGC5044,-11.3919906364,4.05517278534e-12,7.04665058736e-12,4.76604609732,-0.528569027773,True,True,low,97.3,46.4,3.59499458771e-13,-12.4443017591,3.69567332657e-12,1.23486180973e-07
WALLABY J130618-173039,NGC5044,-11.5276968315,2.96690177574e-12,6.00221512848e-12,4.76604609732,-0.524689094001,True,True,low,112.27,46,2.63787796962e-13,-12.5787452991,2.70311397878e-12,3.36826025013e-05
