galaxy_id,field_id,release_phase,distance_mpc,logMstar,logMHI,ell_maj_beams,R_HI90,R_dstar,R_HI90_arcsec,R50_r_arcsec,R_dstar_arcsec,kappa_HI,crossfit_phase_bit,crossfit_dropped_source_index,crossfit_n_source_used,crossfit_n_paired_bins,hi_mass_renorm_scale
WALLABY J130228+063639,NGC4808,2,294.470487257,10.9298793033,9.9519255321,1.2365022137,39.677994138,2.55247756015,39.677994138,4.28394303016,2.55247756015,15.5448944028,0,0,12,6,0.106062275075
WALLABY J130235-113803,NGC5044,2,49.7907646414,9.40893880918,9.51779629592,3.0502408858,99.2616016413,7.54525608439,99.2616016413,12.6635578381,7.54525608439,13.1554980416,0,,28,14,0.0957946309681
WALLABY J130237+044721,NGC4808,2,195.391286015,9.86661245706,9.92384656698,1.22649272212,40.4595906523,2.80379361139,40.4595906523,4.70573856831,2.80379361139,14.4303027469,1,0,12,6,0.111834424546
WALLABY J130241+055729,NGC4808,2,40.896668517,8.38934127454,8.92493836702,1.58130619046,50.4544319261,6.08438941536,50.4544319261,10.2117166614,6.08438941536,8.29243963226,1,0,18,9,0.102394845985
WALLABY J130242+032114,NGC4808,2,297.504205693,10.9365043777,9.78528577361,1.24726948567,35.7018256216,3.79082683829,35.7018256216,6.36232281372,3.79082683829,9.41795211035,0,,12,6,0.126984178347
WALLABY J130244-125326,NGC5044,2,201.466229595,10.4884238885,10.0204885839,1.31526803663,42.0086490919,8.73013197601,42.0086490919,14.6521907244,8.73013197601,4.8119145515,0,0,12,6,0.114363119808
WALLABY J130252-113001,NGC5044,2,160.573334787,10.1231007752,9.88430700514,1.2549520516,40.2629873561,3.77596890442,40.2629873561,6.33738604514,3.77596890442,10.6629552243,0,0,12,6,0.113391713223
WALLABY J130254-155621,NGC5044,2,77.5025658009,8.75743908399,8.88072286062,0.903421790627,31.6527347143,3.76982833611,31.6527347143,6.32708004079,3.76982833611,8.3963331728,0,0,8,4,0.10793954807
WALLABY J130315+074816,NGC4808,2,41.7739900854,10.1044323247,9.76564304811,3.70011151133,107.471287812,13.7648937016,107.471287812,23.102267912,13.7648937016,7.80763659653,0,,30,15,0.0923684482266
WALLABY J130316+044405,NGC4808,2,195.992191899,10.2948232116,10.0577992843,1.48000450296,45.5516592498,4.70824204071,45.5516592498,7.9020638573,4.70824204071,9.67487628205,1,,16,8,0.104029260282
WALLABY J130320-112144,NGC5044,2,302.765085433,10.7641382795,10.2272122823,1.47009607215,51.545229377,3.95476980923,51.545229377,6.63747600553,3.95476980923,13.0336863745,0,0,14,7,0.117701194398
WALLABY J130320-193543,NGC5044,2,166.74061265,9.52895005099,9.66487411444,1.06760145053,34.0420766663,4.51690943149,34.0420766663,7.58094134852,4.51690943149,7.53658606235,0,,12,6,0.105154631878
WALLABY J130321-134144,NGC5044,2,199.072637895,10.5543882941,9.96494337818,1.82502032804,61.9469110557,0.87744823635,61.9469110557,1.47266260637,0.87744823635,70.5989350589,1,0,14,7,0.122978630145
WALLABY J130322+073646,NGC4808,2,43.9082332806,8.21446395689,8.60653708805,1.72140518797,60.83802085,2.24626144557,60.83802085,3.77000613596,2.24626144557,27.0841228077,1,,16,8,0.0993210641793
WALLABY J130330+081941,NGC4808,2,91.8211278519,9.20811029297,9.48533798901,1.26347480156,42.5841488504,9.56022599882,42.5841488504,16.045376529,9.56022599882,4.45430357563,1,,12,6,0.0976513840713
WALLABY J130331+075810,NGC4808,2,199.310271718,10.2425071758,10.2704563214,1.53165405938,51.1783176113,3.22992836752,51.1783176113,5.42094055359,3.22992836752,15.8450317741,1,0,12,6,0.0983816104265
WALLABY J130334-163733,NGC5044,2,198.96909019,10.1249830166,10.0500834635,1.39689170544,50.175860685,2.35454881404,50.175860685,3.9517499149,2.35454881404,21.3101806961,0,0,12,6,0.102349761404
WALLABY J130337-155652,NGC5044,2,196.482946886,8.66892713747,9.55939368042,1.05715689767,33.6599849435,2.70427128243,33.6599849435,4.53870556705,2.70427128243,12.4469705248,1,0,8,4,0.113228031896
WALLABY J130338+075404,NGC4808,2,197.516215101,10.6534229284,9.7904230878,1.15176850433,36.5198895757,4.55215868085,36.5198895757,7.64010182008,4.55215868085,8.02254317921,1,0,10,5,0.107984715872
WALLABY J130339+043644,NGC4808,2,124.407740804,9.31725309668,9.54349065712,1.28560192355,39.307090255,4.31064829557,39.307090255,7.2347635919,4.31064829557,9.11860294781,1,0,14,7,0.104875625706
WALLABY J130340-211340,NGC5044,2,99.0582838632,8.50967557816,9.48847088237,1.30671969593,40.5679085655,2.94608243433,40.5679085655,4.944548586,2.94608243433,13.7701199711,0,,12,6,0.0941166432794
WALLABY J130342+055733,NGC4808,2,267.396119276,10.2171456119,9.91735235368,1.02808132887,29.4781853264,3.0186887849,29.4781853264,5.06640723593,3.0186887849,9.76522835806,1,0,8,4,0.116326430147
WALLABY J130344+061920,NGC4808,2,205.554947212,9.64062224198,10.0967465468,1.44888191579,47.2465624124,5.01180339223,47.2465624124,8.4115451379,5.01180339223,9.42705822931,1,,14,7,0.0974450570461
WALLABY J130347-180311,NGC5044,2,252.848723478,8.35339108377,9.88827060615,1.27085759309,37.5467890915,0.394682332154,37.5467890915,0.662413904184,0.394682332154,95.1316692759,0,,10,5,0.112786563663
WALLABY J130353-192550,NGC5044,2,195.829580365,9.98597795658,9.56804651004,0.884872251562,31.2544919007,3.05368313266,31.2544919007,5.12513989416,3.05368313266,10.2350147487,0,0,8,4,0.118906463377
WALLABY J130355-163807,NGC5044,2,192.2096753,10.4339695333,9.81442799163,1.35676655902,45.2270580895,3.4864217983,45.2270580895,5.8514255311,3.4864217983,12.9723426212,1,,12,6,0.115991364176
WALLABY J130357-112956,NGC5044,2,45.4037242038,11.052612956,9.17774323836,3.2975594439,103.889195665,16.9121263968,103.889195665,28.3844164329,16.9121263968,6.14288193142,1,,38,19,0.0983195049771
WALLABY J130358+054204,NGC4808,2,208.81925061,10.7388193758,10.3999484527,2.55378185781,80.131694134,9.75282196748,80.131694134,16.3686193933,9.75282196748,8.21625724342,1,,28,14,0.100955925537
WALLABY J130358-164910,NGC5044,2,157.516697065,9.33485179494,9.53304857131,1.14011799721,34.4590431313,3.11205094847,34.4590431313,5.22310134213,3.11205094847,11.0727760252,0,,10,5,0.0951772426795
WALLABY J130401-200110,NGC5044,2,165.698197035,9.92261216134,9.59247997414,1.03215254176,32.7532306277,2.67441712039,32.7532306277,4.48859992405,2.67441712039,12.2468669446,1,,10,5,0.104072296618
WALLABY J130408-142339,NGC5044,2,103.081742351,8.89307818578,9.52792673933,1.69065642732,52.0123581237,5.73327538818,52.0123581237,9.62242549069,5.73327538818,9.0720146168,0,,22,11,0.105039333936
WALLABY J130414-191227,NGC5044,2,200.197985634,9.7151106847,9.87548128765,1.17851298306,39.7800592104,3.79802166106,39.7800592104,6.37439822286,3.79802166106,10.4738895037,0,0,10,5,0.101858138687
WALLABY J130415-102023,NGC5044,2,44.4006934537,10.9904483231,10.2674109913,7.39081502996,225.308576525,31.6268151736,225.308576525,53.0807700504,31.6268151736,7.12397297321,0,0,64,32,0.0887997326147
WALLABY J130417-202952,NGC5044,2,67.8410275972,7.98345251636,8.98599726621,1.07979214008,37.8069596508,2.16739197783,37.8069596508,3.63763580217,2.16739197783,17.4435266152,0,0,8,4,0.109265127089
WALLABY J130419+081330,NGC4808,2,252.232250075,9.89538599826,9.94905553845,1.39929013119,47.8296205938,3.02681810614,47.8296205938,5.08005105777,3.02681810614,15.8019474301,1,0,12,6,0.11561912867
WALLABY J130425-204308,NGC5044,2,187.252773293,10.4460774961,10.193243704,1.96543461875,65.0938121839,3.74783095967,65.0938121839,6.29016081026,3.74783095967,17.3683959827,0,0,16,8,0.11593456271
WALLABY J130428+043155,NGC4808,2,101.227806848,9.38402095131,9.50991234482,1.81577955327,58.4603837334,3.34732155293,58.4603837334,5.61796705298,3.34732155293,17.4648245796,0,0,20,10,0.107277774192
WALLABY J130430-180121,NGC5044,2,200.339033973,10.193387868,9.92676595652,1.32539235915,41.2375291379,3.25847569939,41.2375291379,5.46885288211,3.25847569939,12.6554662187,0,0,14,7,0.110820575842
WALLABY J130440+075733,NGC4808,2,201.731886756,10.2668125945,9.91819477491,1.25925770495,41.0125724188,5.56332079743,41.0125724188,9.33718271486,5.56332079743,7.37195892744,0,,12,6,0.100724671305
WALLABY J130444-160813,NGC5044,2,257.247058316,10.0355492365,10.113392181,1.4230595134,46.7306069015,3.97370429417,46.7306069015,6.66925464133,3.97370429417,11.7599608431,1,0,12,6,0.113853071678
WALLABY J130445+062514,NGC4808,2,203.903134842,9.22977982023,9.67421095101,1.37963359338,44.1097962506,3.70194062685,44.1097962506,6.21314090829,3.70194062685,11.915317045,0,,16,8,0.10404025553
WALLABY J130445-190601,NGC5044,2,191.405721169,9.25288648073,9.66315860117,0.952770133423,35.2229032703,4.58043895119,35.2229032703,7.68756592668,4.58043895119,7.68985323145,0,0,8,4,0.132528593123
WALLABY J130502-201243,NGC5044,2,101.526734549,9.14340047838,9.48848889341,1.92925898807,63.7418877313,3.88043806131,63.7418877313,6.51272154014,3.88043806131,16.4264669927,1,,16,8,0.102351995562
WALLABY J130504+071549,NGC4808,2,263.395524909,9.7518661458,10.0965768808,1.21341140254,40.2155059886,2.26346065349,40.2155059886,3.79887237481,2.26346065349,17.7672653274,1,0,12,6,0.0969468848113
WALLABY J130510-161645,NGC5044,2,195.054063713,9.21290662136,9.75612614553,1.32135105316,40.5353325969,1.8900899401,40.5353325969,3.17222676183,1.8900899401,21.4462453542,0,0,10,5,0.114411087077
WALLABY J130522+043840,NGC4808,2,200.986770716,10.7104193819,10.0815843968,1.86757381322,60.2078979136,3.12305941015,60.2078979136,5.24157736067,3.12305941015,19.2784990634,0,0,12,6,0.110159857391
WALLABY J130525-161217,NGC5044,2,175.175084869,10.4023154787,9.58165226528,0.853181774239,27.5572967318,5.52612709224,27.5572967318,9.27475877171,5.52612709224,4.98672872916,0,0,8,4,0.108303957239
WALLABY J130528-111138,NGC5044,2,46.4668001234,7.55467390745,8.85219379478,1.47807139938,46.3973498541,5.35669703387,46.3973498541,8.99039634322,5.35669703387,8.6615594574,1,,14,7,0.10656278612
WALLABY J130534-154506,NGC5044,2,41.5074795269,9.03200918321,9.35437175708,1.89655309927,57.0830457922,14.1002590814,57.0830457922,23.6651273877,14.1002590814,4.04836857696,0,,20,10,0.0923635913122
WALLABY J130535+041627,NGC4808,2,187.926777208,9.02875955734,10.111872159,1.41609841485,45.1248962527,3.90635528045,45.1248962527,6.55621962687,3.90635528045,11.5516621027,1,,14,7,0.103918401532
WALLABY J130535+051140,NGC4808,2,187.444143011,9.42567231554,9.7676209182,1.03759437196,33.7046478764,2.35080777158,33.7046478764,3.94547114754,2.35080777158,14.3374750942,0,,10,5,0.103333427599
WALLABY J130544+073310,NGC4808,2,265.685468441,10.6229493582,10.1814261858,1.31091009857,38.3341078852,3.79092752131,38.3341078852,6.36249179476,3.79092752131,10.1120656277,1,0,14,7,0.109598741144
WALLABY J130545-193817,NGC5044,2,192.278118841,10.6443443086,10.2275479199,2.32859074,73.9216856154,2.99431802138,73.9216856154,5.02550463834,2.99431802138,24.687319479,0,0,20,10,0.107228631419
WALLABY J130546-133400,NGC5044,2,18.5269145915,6.0645520909,7.64538968212,0.929293114877,28.6095819884,2.37080466322,28.6095819884,3.97903287044,2.37080466322,12.0674564346,1,0,8,4,0.121547840534
WALLABY J130559-145906,NGC5044,2,80.3092995283,9.01644715733,9.26381958097,1.49858328504,51.0398402861,4.26049414936,51.0398402861,7.15058753156,4.26049414936,11.9797935396,0,,14,7,0.100334610557
WALLABY J130602-155021,NGC5044,2,96.2000539939,8.9472931743,9.2643590951,1.26256200997,41.8335595868,2.28462145493,41.8335595868,3.83438754222,2.28462145493,18.3109370248,1,,12,6,0.108137052448
WALLABY J130609+040911,NGC4808,2,170.354725588,9.95821986076,9.71374503377,1.20738759495,40.8093873441,3.80748135174,40.8093873441,6.39027486624,3.80748135174,10.7182106947,1,0,10,5,0.101665828609
WALLABY J130612-201622,NGC5044,2,216.633616157,10.490655651,10.1635270648,1.739353328,52.5389011203,3.37090546511,52.5389011203,5.65754904101,3.37090546511,15.5859906675,1,0,16,8,0.108456238098
WALLABY J130614-202212,NGC5044,2,217.102265077,10.3319447382,10.4229173538,1.68581978936,47.6935070297,2.81037811186,47.6935070297,4.71678964484,2.81037811186,16.9704947631,1,,16,8,0.100591504049
WALLABY J130618-173039,NGC5044,2,20.990122421,8.32742830795,9.117039839,2.92479961861,87.42665791,18.3436450518,87.42665791,30.7870014587,18.3436450518,4.76604609732,0,0,28,14,0.096996452853
WALLABY J130622-161408,NGC5044,2,159.276615411,9.59340023449,9.45748053238,1.08437195729,30.8859052661,2.57106363485,30.8859052661,4.31513691269,2.57106363485,12.012890248,1,,10,5,0.111234061465
WALLABY J130623+052247,NGC4808,2,186.707495307,9.39563114454,9.84987458809,1.46131414556,46.7700091809,2.97623998219,46.7700091809,4.99516341567,2.97623998219,15.7144616902,0,,14,7,0.11210047743
WALLABY J130629-133413,NGC5044,2,35.1978215189,9.10704668501,9.31622061136,2.05837231271,64.7842058892,7.47115455296,64.7842058892,12.5391897559,7.47115455296,8.67124424076,1,,24,12,0.0948711383548
WALLABY J130630-112046,NGC5044,2,222.445131652,9.5188935356,9.91177082535,1.10382041391,35.11681251,4.07544654257,35.11681251,6.84001343769,4.07544654257,8.61667847761,0,,10,5,0.0995122678226
WALLABY J130643-155855,NGC5044,2,162.037199778,8.65355335146,9.71935637968,1.36691148518,43.7344889023,1.34998744189,43.7344889023,2.26574735966,1.34998744189,32.3962190648,1,,14,7,0.105173736283
WALLABY J130645-164412,NGC5044,2,267.674615588,10.6125695243,9.99123834198,1.17594972372,35.2815848378,5.15293534683,35.2815848378,8.6484135291,5.15293534683,6.84689064836,0,,10,5,0.102719552904
WALLABY J130647-162241,NGC5044,2,156.178955908,9.90059119053,9.5922204144,1.25508425413,41.8289280877,3.46973896876,41.8289280877,5.82342595436,3.46973896876,12.0553530004,1,0,12,6,0.105051278245
WALLABY J130654-154854,NGC5044,2,162.133166171,9.49425220152,9.94241200106,1.38487297545,43.4555570166,5.75711128389,43.4555570166,9.6624303945,5.75711128389,7.54815303609,0,0,12,6,0.109194249229
WALLABY J130659-151041,NGC5044,2,69.1871927462,8.64347511033,8.66657014078,0.876462490205,30.7475744485,3.88559290865,30.7475744485,6.52137316266,3.88559290865,7.91322590178,0,,10,5,0.11012351431
WALLABY J130703-185253,NGC5044,2,197.787603417,9.49914102973,9.86594867667,1.4989976081,47.5992579378,3.78203615002,47.5992579378,6.34756898853,3.78203615002,12.5856168608,1,,16,8,0.103614023135
WALLABY J130718-162004,NGC5044,2,35.306690726,8.64396642209,8.88614718901,1.64770535604,51.4364957592,10.2687681068,51.4364957592,17.2345560433,10.2687681068,5.0090230127,0,0,16,8,0.101014178947
WALLABY J130721+070242,NGC4808,2,293.839886742,9.64444309941,9.96668487385,0.96914982253,28.8012387486,2.65163447409,28.8012387486,4.45036273822,2.65163447409,10.8616926767,1,0,10,5,0.112014882994
WALLABY J130727+044550,NGC4808,2,200.910960187,10.8609499048,10.2514526724,1.66903950171,54.0023998823,5.27301017922,54.0023998823,8.84994076263,5.27301017922,10.2412849676,1,,16,8,0.0963550185012
WALLABY J130733-140834,NGC5044,2,265.513109771,9.8088952929,9.77238670825,0.908002499778,33.2679204793,1.8920379643,33.2679204793,3.17549622239,1.8920379643,17.5831146663,0,,8,4,0.110619932629
WALLABY J130737-151812,NGC5044,2,169.099371883,9.84968686711,10.0816879862,1.52998596374,49.724796115,5.0493497482,49.724796115,8.47456095144,5.0493497482,9.84776230498,1,,14,7,0.0947745162894
WALLABY J130739+075909,NGC4808,2,86.4402640202,9.06931024592,9.09968706448,1.35140820869,47.9773948181,6.02558634632,47.9773948181,10.1130247074,6.02558634632,7.96227820176,1,0,10,5,0.116344912446
WALLABY J130753-205916,NGC5044,2,178.331542071,10.5986926487,10.3232852973,1.78551144138,53.030888242,6.57519791107,53.030888242,11.0354636228,6.57519791107,8.06529156373,1,0,18,9,0.0986057739898
WALLABY J130757-193648,NGC5044,2,198.453986932,10.1260199717,10.0555870443,1.41155870608,47.6714319123,4.55877863898,47.6714319123,7.65121240689,4.55877863898,10.4570622282,1,0,12,6,0.106087482371
WALLABY J130759-180456,NGC5044,2,153.792798653,10.3355629696,10.0109765235,1.40974649588,47.7115344821,5.7285715033,47.7115344821,9.61453073966,5.7285715033,8.32869668375,1,0,12,6,0.103351818611
WALLABY J130802+062900,NGC4808,2,101.909539502,10.5353224214,9.7839710893,2.14907994151,68.3964566175,4.80698106567,68.3964566175,8.06778220263,4.80698106567,14.2285679272,0,,18,9,0.0959143504976
WALLABY J130810+044441,NGC4808,2,83.5674063586,8.38782985038,9.63849943126,3.66421976814,119.858847833,0.42798627276,119.858847833,0.718309472656,0.42798627276,280.05301913,1,,30,15,0.0980059041403
WALLABY J130812-145720,NGC5044,2,165.211598646,9.18155045074,9.54475745334,1.52946834758,52.5098598846,2.85900333869,52.5098598846,4.79839964795,2.85900333869,18.3664912782,0,0,14,7,0.107495868695
WALLABY J130813+034746,NGC4808,2,85.2247575606,7.95130865057,9.08084167287,1.19610605184,38.9288291818,2.26998823971,38.9288291818,3.8098279295,2.26998823971,17.1493528031,0,0,10,5,0.109262414017
WALLABY J130813+053320,NGC4808,2,202.530394423,9.77502272154,9.82649902026,1.51163212909,46.6824691208,1.43414424901,46.6824691208,2.40699168358,1.43414424901,32.55074875,1,,14,7,0.0990092443599
WALLABY J130813+064248,NGC4808,2,194.396760747,8.81801982398,9.75355652932,1.434978961,47.0083986898,1.61893669835,47.0083986898,2.7171375347,1.61893669835,29.0365884829,0,,10,5,0.0991145069732
WALLABY J130815-210002,NGC5044,2,23.5273556005,8.54226566063,8.73731037695,2.70699969432,81.4587751142,15.0168696103,81.4587751142,25.2035179099,15.0168696103,5.42448441175,0,0,30,15,0.102103792355
WALLABY J130821-185647,NGC5044,2,195.369247874,9.69546851368,9.88305789017,2.47742806256,73.4853323265,2.32740189962,73.4853323265,3.90618797279,2.32740189962,31.5739762602,0,0,18,9,0.106872974384
WALLABY J130825-194130,NGC5044,2,99.4384425736,10.0727621625,9.68619281637,2.01692759954,61.4413489903,2.9736486848,61.4413489903,4.9908143195,2.9736486848,20.6619394229,0,,18,9,0.0998014816907
WALLABY J130826+064302,NGC4808,2,211.70720312,10.685829187,9.96035960918,1.32404275833,46.4109698566,3.62781110192,46.4109698566,6.08872584326,3.62781110192,12.7931054161,1,0,10,5,0.104346080782
WALLABY J130829-204924,NGC5044,2,20.7205906641,7.7616932652,8.08547971113,1.27607458965,42.5929040075,5.62297986211,42.5929040075,9.43731132649,5.62297986211,7.57479220128,1,0,10,5,0.109251238659
WALLABY J130846-175751,NGC5044,2,195.121589426,10.5051760937,10.2296112321,1.18840559883,40.9562341666,5.67709363656,40.9562341666,9.52813301696,5.67709363656,7.21429604453,1,0,10,5,0.103513099748
WALLABY J130852+055946,NGC4808,2,51.1344242839,8.11624408491,8.86265187418,1.44791832653,46.0862560808,8.76892530832,46.0862560808,14.7172993969,8.76892530832,5.25563332568,0,0,14,7,0.113566867742
WALLABY J130854-171416,NGC5044,2,140.017397204,9.34864468468,9.82966656475,1.51241995817,45.1563509935,5.69759177969,45.1563509935,9.56253601378,5.69759177969,7.92551532992,1,,16,8,0.111608758388
WALLABY J130857-153100,NGC5044,2,17.8981386191,10.5366384132,8.28565239006,2.98565672132,109.933306014,15.1904106073,109.933306014,25.4947799198,15.1904106073,7.2370200422,0,,26,13,0.102395000086
WALLABY J130901+072007,NGC4808,2,91.0666129882,8.9609659072,9.01603686575,0.981959925547,33.0188925258,4.72951847903,33.0188925258,7.93777310352,4.72951847903,6.98144909934,0,,8,4,0.106976819721
WALLABY J130901-172115,NGC5044,2,71.4185263564,7.78950060951,8.6729156442,1.37879983936,44.5810308147,0.328760259792,44.5810308147,0.55177379246,0.328760259792,135.603466316,1,,10,5,0.111862143521
WALLABY J130904+081148,NGC4808,2,101.956154545,8.84215871594,9.24261821764,1.08871524484,34.3081893914,2.51718838452,34.3081893914,4.22471554846,2.51718838452,13.6295676567,0,,12,6,0.110172743862
WALLABY J130905+055109,NGC4808,2,103.293956779,9.41789515325,9.65494102393,1.30155570751,45.5436508799,4.63649700924,45.5436508799,7.78165079968,4.63649700924,9.82285781468,1,0,12,6,0.104701467651
WALLABY J130906+051433,NGC4808,2,51.4567509491,8.29437721908,9.39967710629,3.11721238329,97.0056166844,4.88536279686,97.0056166844,8.19933394524,4.88536279686,19.8563792943,1,0,24,12,0.0998242873112
WALLABY J130914-183640,NGC5044,2,249.35825245,8.79412552041,9.80506932952,1.17719079027,34.2827041233,2.01558832952,34.2827041233,3.38285660596,2.01558832952,17.0087828061,0,,10,5,0.107498563147
