galaxy_id,field_id,R_HI90,R_dstar,kappa_HI,stratum
WALLABY J125646+034002,NGC4808,61.855434992,3.56431404974,17.3540922962,high
WALLABY J130425-204308,NGC5044,65.0938121839,3.74783095967,17.3683959827,high
WALLABY J131051-190753,NGC5044,33.5872276628,1.92745030802,17.4257294847,high
WALLABY J130417-202952,NGC5044,37.8069596508,2.16739197783,17.4435266152,high
WALLABY J130428+043155,NGC4808,58.4603837334,3.34732155293,17.4648245796,high
WALLABY J130733-140834,NGC5044,33.2679204793,1.8920379643,17.5831146663,high
WALLABY J130504+071549,NGC4808,40.2155059886,2.26346065349,17.7672653274,high
WALLABY J130924-183226,NGC5044,45.5657382012,2.54869602918,17.8780590857,high
WALLABY J134045-211913,NGC5044,50.6850679505,2.82841281541,17.9199682855,high
WALLABY J125515+081543,NGC4808,81.5243997349,4.53977997189,17.9577865535,high
WALLABY J132313-152804,NGC5044,45.9495534377,2.55521041055,17.9826887242,high
WALLABY J130602-155021,NGC5044,41.8335595868,2.28462145493,18.3109370248,high
WALLABY J130812-145720,NGC5044,52.5098598846,2.85900333869,18.3664912783,high
WALLABY J133556-241859,NGC5044,56.7395449522,3.05158278849,18.5934804608,high
WALLABY J125851+052229,NGC4808,62.0565179531,3.326233606,18.6566926151,high
WALLABY J134018-211518,NGC5044,43.6277957385,2.30171990791,18.9544329823,high
WALLABY J124911+032310,NGC4808,214.192515049,11.2053579985,19.1151871344,high
WALLABY J130522+043840,NGC4808,60.2078979136,3.12305941015,19.2784990634,high
WALLABY J134004-235850,NGC5044,43.0089706159,2.21228468737,19.4409746908,high
WALLABY J132551-162706,NGC5044,34.2409300908,1.73804230902,19.7008610855,high
WALLABY J133152-235603,NGC5044,40.4227943966,2.03647513831,19.8493925294,high
WALLABY J130906+051433,NGC4808,97.0056166844,4.88536279686,19.8563792942,high
WALLABY J130003-183028,NGC5044,68.8937354298,3.46709861073,19.870717036,high
WALLABY J131113+065134,NGC4808,54.6135625437,2.71738227691,20.0978577831,high
WALLABY J130825-194130,NGC5044,61.4413489903,2.9736486848,20.6619394229,high
WALLABY J133151-173014,NGC5044,63.7252010188,3.03401222,21.0036072362,high
