galaxy_id,pair_index,rin_arcsec,rout_arcsec,sigma_hi_msun_pc2
WALLABY J125243+075643,3,36.0000000001,48.0000000001,0.755923992992
WALLABY J125243+075643,4,48.0000000001,60.0000000001,0.353606232808
WALLABY J125243+075643,5,60.0000000001,72.0000000001,0.120696627341
WALLABY J125243+075643,6,72.0000000001,84.0000000002,0.0338396884367
WALLABY J125243+075643,7,84.0000000002,96.0000000002,0.00140334777398
WALLABY J125339+040434,0,4.4408920985e-16,12,2.41599692971
WALLABY J125339+040434,1,12,24,1.76851492398
WALLABY J125339+040434,2,24,36.0000000001,0.0120530889528
WALLABY J125339+040434,3,36.0000000001,48.0000000001,0.0174672888759
WALLABY J125413+052149,0,4.4408920985e-16,12,6.02942308737
WALLABY J125413+052149,1,12,24,4.77977287958
WALLABY J125413+052149,2,24,36.0000000001,1.4675282702
WALLABY J125413+052149,3,36.0000000001,48.0000000001,0.81691018185
WALLABY J125413+052149,4,48.0000000001,60.0000000001,0.0785615506144
WALLABY J125413+052149,5,60.0000000001,72.0000000001,0.105121550589
WALLABY J125413+052149,6,72.0000000001,84.0000000002,0.0191565439075
WALLABY J125413+052149,7,84.0000000002,96.0000000002,0.00391755698497
WALLABY J125441+050734,0,6.00000000001,18,3.48506147743
WALLABY J125441+050734,1,18,30.0000000001,0.303045358606
WALLABY J125441+050734,2,30.0000000001,42.0000000001,0.0707413039206
WALLABY J125441+050734,3,42.0000000001,54.0000000001,0.00697264348633
WALLABY J125451+023900,0,4.4408920985e-16,12,17.4424152334
WALLABY J125451+023900,1,12,24,14.7295379152
WALLABY J125451+023900,2,24,36.0000000001,11.9959456619
WALLABY J125451+023900,3,36.0000000001,48.0000000001,8.06217347554
WALLABY J125451+023900,4,48.0000000001,60.0000000001,7.75519140643
WALLABY J125451+023900,5,60.0000000001,72.0000000001,3.83848264995
WALLABY J125451+023900,6,72.0000000001,84.0000000002,3.0083446988
WALLABY J125451+023900,7,84.0000000002,96.0000000002,1.1755894235
WALLABY J125451+023900,8,96.0000000002,108,0.613967734368
WALLABY J125451+023900,9,108,120,0.247329030504
WALLABY J125451+023900,10,120,132,0.092746960165
WALLABY J125451+023900,11,132,144,0.002561916428
WALLABY J125500+051140,0,6.00000000001,18,3.01399984889
WALLABY J125500+051140,1,18,30.0000000001,1.07811365848
WALLABY J125500+051140,2,30.0000000001,42.0000000001,0.460948653635
WALLABY J125500+051140,3,42.0000000001,54.0000000001,0.0284643078225
WALLABY J125500+051140,4,54.0000000001,66.0000000001,0.0086347292667
WALLABY J125507+040229,0,6.00000000001,18,2.34202610007
WALLABY J125507+040229,1,18,30.0000000001,1.29546783609
WALLABY J125507+040229,2,30.0000000001,42.0000000001,0.795367808928
